COMPANY NAME,CITY,STATE,ZIP CODE,STREET ADDRESS CITY,STREET ADDRESS,STREET ADDRESS ZIP,COUNTY,PHONE NUMBER,FAX NUMBER,WEB ADDRESS,LAST NAME,FIRST NAME,CONTACT TITLE,CONTACT GENDER,ACTUAL EMPLOYEE SIZE,EMPLOYEE SIZE RANGE,ACTUAL SALES VOLUME,SALES VOLUME RANGE,Industry,PRIMARY SIC,PRIMARY SIC DESCRIPTION,SECONDARY SIC #1,SECONDARY SIC DESCRIPTION #1,SECONDARY SIC #2,SECONDARY SIC DESCRIPTION #2,CREDIT ALPHA SCORE,CREDIT NUMERIC SCORE,HEADQUARTERS/BRANCH,SQUARE FOOTAGE
Amerada Hess Corp,New York,NY,10036-2601,New York,1185 Avenue Of The Americas,10036-2601,New York,2.13E+09,2.13E+09,www.hess.com,Hess,John B,CEO,Male,11119,10000+,1.71E+10,Over $1 Billion,Mining,138203,Oil & Gas Exploration & Development,131101,Oil & Gas Producers,131104,Oil & Gas-Production,A+,100,Headquarter,"40,000+"
Asarco LLC,Phoenix,AZ,85044-5303,Phoenix,8222 S 48th St # 220,85044-5303,Maricopa,6.03E+09,6.03E+09,www.asarco.com,Mc Callister,Doug,CEO,Male,11000,10000+,2.20E+09,Over $1 Billion,Mining,149901,Mining Companies,102198,Copper Ores,103198,Lead & Zinc Ores,A+,100,Headquarter,"40,000+"
Occidental Petroleum Corp,Los Angeles,CA,90024-4201,Los Angeles,10889 Wilshire Blvd,90024-4201,Los Angeles,3.10E+09,3.10E+09,www.oxy.com,Irani,Ray R,CEO,Male,8017,5000 to 9999,1.63E+10,Over $1 Billion,Mining,138203,Oil & Gas Exploration & Development,131101,Oil & Gas Producers,132198,Natural Gas Liquids,A+,100,Headquarter,"40,000+"
Peabody Energy Corp,St Louis,MO,63101-1895,St Louis,701 Market St,63101-1895,St Louis City,3.14E+09,3.14E+09,www.peabodyenergy.com,Boyce,Gregory H,CEO,Male,6900,5000 to 9999,3.63E+09,Over $1 Billion,Mining,122102,Coal Mining & Shipping,122102,Coal Mining & Shipping,509905,Importers,A+,100,Headquarter,"40,000+"
Boart Longyear Co,Salt Lake City,UT,84127-0314,Salt Lake City,2640 W 1700 S,84104-4269,Salt Lake,8.02E+09,8.02E+09,www.boartlongyear.com,Swayne,R E,CEO,Male,6700,5000 to 9999,3.20E+08,$100 - 500 Million,Mining,108101,Metal Mining Services,108101,Metal Mining Services,148198,Nonmetallic Minerals Svc-Except Fuels,A+,100,Headquarter,"40,000+"
Murphy Oil Corp,El Dorado,AR,71731-7000,El Dorado,200 E Peach St,71730-5890,Union,8.71E+09,8.71E+09,www.murphyoilcorp.com,Deming,Claiborne P,CEO,Male,6248,5000 to 9999,1.19E+10,Over $1 Billion,Mining,131101,Oil & Gas Producers,131101,Oil & Gas Producers,291105,Petroleum Products-Manufacturers,A+,100,Headquarter,"40,000+"
Global Santa Fe Corp,Houston,TX,77210-4379,15375 Memorial Dr,Houston,77079-4119,Harris,2.82E+09,,www.bglm.com,Marshall,Jon A,CEO,Male,5325,5000 to 9999,1.72E+09,Over $1 Billion,Mining,138102,Oil Well Drilling,131101,Oil & Gas Producers,138101,Contractors-Oil Field,A+,100,Headquarter,"40,000+"
SEACOR Holdings Inc,Fort Lauderdale,FL,33316-0100,Fort Lauderdale,2200 Eller Dr,33316 0000,Broward,9.55E+09,,www.seacorsmit.com,Fabrikant,Charles,CEO,Male,5035,5000 to 9999,9.72E+08,$500 Million - $1 Billion,Mining,138203,Oil & Gas Exploration & Development,138203,Oil & Gas Exploration & Development,138999,Oil & Gas-Field Services Nec,A+,100,Headquarter,"10,000 - 39,999"
Massey Energy Co,Richmond,VA,23261-6765,Richmond,4 N 4th St,23219-2230,Richmond City,8.05E+09,8.05E+09,www.masseyenergyco.com,Blankenship,Don L,CEO,Male,5034,5000 to 9999,1.77E+09,Over $1 Billion,Mining,122102,Coal Mining & Shipping,122102,Coal Mining & Shipping,505203,Coal Brokers,A+,100,Headquarter,"40,000+"
Core Laboratories Inc,Houston,TX,77040-4950,6316 Windfern Rd,Houston,77040-4950,Harris,7.13E+09,7.13E+09,www.corelaboratories.com,Demshur,David M,CEO,Male,4300,1000 to 4999,4.06E+08,$100 - 500 Million,Mining,138905,Oil Field Service,138905,Oil Field Service,508428,Oil Field Equipment (Wholesale),A+,100,Headquarter,"40,000+"
Diamond Offshore Drilling Inc,Houston,TX,77210-4558,15415 Katy Fwy,Houston,77094-1816,Harris,2.81E+09,2.81E+09,www.diamondoffshore.com,Tisch,James S,CEO,Male,4200,1000 to 4999,8.15E+08,$500 Million - $1 Billion,Mining,138102,Oil Well Drilling,138102,Oil Well Drilling,509901,Exporters,A+,100,Subsidiary,"40,000+"
Arch Coal Inc,St Louis,MO,63141-7066,St Louis,1 Cityplace Dr # 300,63141-7066,St Louis,3.15E+09,3.15E+09,www.archcoal.com,Leer,Steven F,CEO,Male,4150,1000 to 4999,1.91E+09,Over $1 Billion,Mining,122102,Coal Mining & Shipping,122102,Coal Mining & Shipping,509901,Exporters,A+,100,Headquarter,"40,000+"
Cleveland-Cliffs Inc,Cleveland,OH,44114-2531,Cleveland,1100 Superior Ave E,44114-2531,Cuyahoga,2.17E+09,2.17E+09,www.cleveland-cliffs.com,Carrabba,Joseph A,CEO,Male,4085,1000 to 4999,1.21E+09,Over $1 Billion,Mining,101198,Iron-Ore,81198,Timber Tracts,108101,Metal Mining Services,A+,100,Headquarter,"40,000+"
Doe Run Resources Corp,St Louis,MO,63146-4023,St Louis,1801 Park 270 Dr # 300,63146-4023,St Louis,3.14E+09,3.14E+09,www.doerun.com,Zelms,Jeffrey L,CEO,Male,4000,1000 to 4999,6.85E+08,$500 Million - $1 Billion,Mining,149901,Mining Companies,103198,Lead & Zinc Ores,509901,Exporters,A+,100,Subsidiary,"10,000 - 39,999"
Devon Energy Corp,Oklahoma City,OK,73102-8260,Oklahoma City,20 N Broadway Ave,73102-8260,Oklahoma,4.05E+09,4.06E+09,www.devonenergy.com,Nichols,J Larry,CEO,Male,3924,1000 to 4999,9.19E+09,Over $1 Billion,Mining,138203,Oil & Gas Exploration & Development,131101,Oil & Gas Producers,461298,Crude Petroleum Pipelines,A+,100,Headquarter,"40,000+"
KERR-Mc Gee Corp,Oklahoma City,OK,73102-6444,Oklahoma City,123 Robert S Kerr Ave,73102-6444,Oklahoma,4.05E+09,4.05E+09,www.kerr-mcgee.com,Corbett,Luke R,CEO,Male,3915,1000 to 4999,5.16E+09,Over $1 Billion,Mining,138203,Oil & Gas Exploration & Development,131101,Oil & Gas Producers,291105,Petroleum Products-Manufacturers,A+,100,Headquarter,"40,000+"
Helmerich & Payne Inc,Tulsa,OK,74119-3623,Tulsa,1437 S Boulder Ave # 1400,74119-3623,Tulsa,9.19E+09,9.19E+09,www.hpinc.com,Helmerich,Hans,CEO,Male,3615,1000 to 4999,8.01E+08,$500 Million - $1 Billion,Mining,138203,Oil & Gas Exploration & Development,131101,Oil & Gas Producers,138198,Drilling-Oil & Gas Wells,A+,100,Headquarter,"40,000+"
Ensco International Inc,Dallas,TX,75201-3331,500 N Akard St # 4300,Dallas,75201-3331,Dallas,2.14E+09,2.14E+09,www.enscointernational.net,Thorne,Carl F,CEO,Male,3600,1000 to 4999,7.91E+08,$500 Million - $1 Billion,Mining,138203,Oil & Gas Exploration & Development,131101,Oil & Gas Producers,,,A+,100,Headquarter,"40,000+"
Knife River Corp,Bismarck,ND,58506-5568,Bismarck,1150 W Century Ave,58503-0942,Burleigh,7.01E+09,7.01E+09,www.kniferiver.com,Schneider,William,CEO,Male,3590,1000 to 4999,1.67E+08,$100 - 500 Million,Mining,122102,Coal Mining & Shipping,122102,Coal Mining & Shipping,505298,Coal & Other Minerals & Ores (Wholesale),A+,100,Subsidiary,"10,000 - 39,999"
Florida Rock Industries Inc,Jacksonville,FL,32201-4667,Jacksonville,155 E 21st St,32206-2136,Duval,9.04E+09,9.05E+09,www.flarock.com,Baker II,John D,CEO,Male,3426,1000 to 4999,1.15E+09,Over $1 Billion,Mining,144202,Construction-Sand & Gravel,142298,Crushed & Broken Limestone,142398,Crushed & Broken Granite,A+,100,Headquarter,"40,000+"
Anadarko Petroleum Corp,Houston,TX,77251-1330,1201 Lake Robbins Dr,The Woodlands,77380-1124,Montgomery,8.33E+09,,www.anadarko.com,Hackett,James T,CEO,Male,3300,1000 to 4999,6.07E+09,Over $1 Billion,Mining,131101,Oil & Gas Producers,131101,Oil & Gas Producers,132198,Natural Gas Liquids,A+,100,Headquarter,"40,000+"
ABC Seamless Siding,Fargo,ND,58103-2317,Fargo,3001 Fiechtner Dr S,58103-2317,Cass,7.01E+09,7.01E+09,www.abcseamless.com,Beyers,Jerry,CEO,Male,3000,1000 to 4999,0,,Mining,176111,Siding Contractors,176103,Gutters & Downspouts,176109,Roofing Contractors,A+,100,Headquarter,"40,000+"
Unit Corp,Tulsa,OK,74170-2500,Tulsa,7130 S Lewis Ave # 1000,74136-5465,Tulsa,9.18E+09,9.18E+09,www.unitcorp.com,Pinkston,Larry D,CEO,Male,2913,1000 to 4999,8.86E+08,$500 Million - $1 Billion,Mining,131101,Oil & Gas Producers,131101,Oil & Gas Producers,492398,Natural Gas Transmission & Distribution,A+,100,Headquarter,"40,000+"
Grey Wolf Inc,Houston,TX,77042-4136,10370 Richmond Ave # 600,Houston,77042-4136,Harris,7.13E+09,7.13E+09,www.greywolfdrilling.com,Richards,Thomas P,CEO,Male,2900,1000 to 4999,4.34E+08,$100 - 500 Million,Mining,138912,Oil Well Services,138205,Explorers-Natural Resources,,,A+,100,Headquarter,"40,000+"
Chesapeake Energy Corp,Oklahoma City,OK,73154-0496,Oklahoma City,6100 N Western Ave,73118-1077,Oklahoma,4.06E+09,4.06E+09,www.chkenergy.com,Mcclendon,Aubrey K,CEO,Male,2885,1000 to 4999,4.67E+09,Over $1 Billion,Mining,138203,Oil & Gas Exploration & Development,138203,Oil & Gas Exploration & Development,,,A+,100,Headquarter,"40,000+"
Usec Inc,Bethesda,MD,20817-1818,Bethesda,6903 Rockledge Dr,20817-1818,Montgomery,3.02E+09,3.02E+09,www.usec.com,Welch,John K,CEO,Male,2762,1000 to 4999,1.56E+09,Over $1 Billion,Mining,109401,Uranium,109401,Uranium,,,A+,100,Headquarter,"40,000+"
Grant Geophysical Inc,Houston,TX,77218-9650,16850 Park Row,Houston,77084-5023,Harris,2.81E+09,2.81E+09,www.grantgeo.com,Miles,Richard F,CEO,Male,2730,1000 to 4999,93451000,$50 - 100 Million,Mining,138206,Seismic Data Brokers,138201,Seismograph Service,509905,Importers,A+,100,Headquarter,"40,000+"
Drummond Co Inc,Birmingham,AL,35202-0246,Birmingham,1000 Urban Center Dr # 300,35242-2572,Jefferson,2.06E+09,2.06E+09,www.drummondco.com,Drummond,Garry N,CEO,Male,2500,1000 to 4999,8.25E+08,$500 Million - $1 Billion,Mining,149901,Mining Companies,149901,Mining Companies,505201,Coal & Coke-Wholesale,A+,100,Headquarter,"40,000+"
Sun Coke Co,Knoxville,TN,37939-0388,Knoxville,1111 N Northshore Dr # N600,37919-4093,Knox,8.66E+09,8.66E+09,www.suncoke.com,Dingus,Michael H R,President,Male,2500,1000 to 4999,0,,Mining,122298,Bituminous Coal-Underground Mining,122298,Bituminous Coal-Underground Mining,598902,Coal & Coke-Retail,A+,100,Subsidiary,"2,500 - 9,999"
Apache Corp,Houston,TX,77056-4400,2000 Post Oak Blvd # 100,Houston,77056-4400,Harris,7.13E+09,7.13E+09,www.apachecorp.com,Samuelson,J T,IT Exec,Male,2353,1000 to 4999,5.33E+09,Over $1 Billion,Mining,138203,Oil & Gas Exploration & Development,17398,Tree Nuts,17401,Citrus Growers,A+,100,Headquarter,"40,000+"
M-I Swaco,Houston,TX,77242-2842,5950 N Course Dr,Houston,77072-1626,Harris,7.14E+09,8.32E+09,www.midf.com,Carroll,Loren K,CEO,Male,2300,1000 to 4999,0,,Mining,138908,Oil Well Drilling Mud & Additives,138908,Oil Well Drilling Mud & Additives,509905,Importers,A+,100,Subsidiary,"40,000+"
Global Industries LTD,Sulphur,LA,70664-0067,Sulphur,8000 Global Dr,70665-8807,Calcasieu,3.38E+09,3.38E+09,www.globalind.com,Dore,William J,CEO,Male,2245,1000 to 4999,4.63E+08,$100 - 500 Million,Mining,138905,Oil Field Service,138905,Oil Field Service,138999,Oil & Gas-Field Services Nec,A+,100,Headquarter,"40,000+"
Burlington Resources Inc,Houston,TX,77210-4239,717 Texas St # 2100,Houston,77002-2753,Harris,7.13E+09,7.14E+09,www.br-inc.com,Shackouls,Bobby S,CEO,Male,2214,1000 to 4999,5.62E+09,Over $1 Billion,Mining,131101,Oil & Gas Producers,131101,Oil & Gas Producers,138203,Oil & Gas Exploration & Development,A+,100,Headquarter,"40,000+"
Piedmont Natural Gas Co Inc,Charlotte,NC,28233-3068,Charlotte,4720 Piedmont Row Dr,28210-4269,Mecklenburg,7.04E+09,7.04E+09,www.piedmontng.com,Skains,Thomas E,CEO,Male,2120,1000 to 4999,1.53E+09,Over $1 Billion,Mining,131101,Oil & Gas Producers,131101,Oil & Gas Producers,138203,Oil & Gas Exploration & Development,A+,100,Headquarter,"40,000+"
W-H Energy Svc Inc,Houston,TX,77042-4147,10370 Richmond Ave # 990,Houston,77042-4147,Harris,7.13E+09,7.14E+09,www.whes.com,White Jr,Kenneth T,CEO,Male,2079,1000 to 4999,3.98E+08,$100 - 500 Million,Mining,138905,Oil Field Service,138905,Oil Field Service,171131,Energy Management Systems & Products,A+,100,Headquarter,"10,000 - 39,999"
Alliance Resource Partners LP,Tulsa,OK,74119-4815,Tulsa,1717 S Boulder Ave # 600,74119-4815,Tulsa,9.18E+09,9.18E+09,www.arlp.com,Craft III,Joseph W,CEO,Male,2020,1000 to 4999,6.53E+08,$500 Million - $1 Billion,Mining,122102,Coal Mining & Shipping,122102,Coal Mining & Shipping,,,A+,100,Headquarter,"40,000+"
Hunt Oil Co,Dallas,TX,75202-2751,1445 Ross Ave # 1400,Dallas,75202-2751,Dallas,2.15E+09,2.15E+09,www.huntoil.com,Hunt,Ray L,CEO,Male,2000,1000 to 4999,0,,Mining,131101,Oil & Gas Producers,131101,Oil & Gas Producers,291101,Oil Refiners (Manufacturers),A+,100,Headquarter,"40,000+"
Baker Hughes Inteq,Houston,TX,77267-0968,2001 Rankin Rd,Houston,77073-5114,Harris,2.82E+09,7.14E+09,www.bakerhughesfluids.com,Ballantyne,Ray A,President,Male,2000,1000 to 4999,0,,Mining,138905,Oil Field Service,138905,Oil Field Service,509905,Importers,A+,100,Subsidiary,"2,500 - 9,999"
Landmark Graphics Corp,Houston,TX,77242-2806,2101 Citywest Blvd # 200,Houston,77042-2830,Harris,7.14E+09,7.14E+09,www.lgc.com,Bernard,Peter,CEO,Male,2000,1000 to 4999,0,,Mining,138905,Oil Field Service,138206,Seismic Data Brokers,509905,Importers,A+,100,Subsidiary,"2,500 - 9,999"
Todco,Houston,TX,77042-3630,2000 W Sam Houston Pkwy # 800,Houston,77042-3630,Harris,7.13E+09,7.13E+09,www.theoffshoredrillingcompany.com,Rask,Jan,CEO,Male,1970,1000 to 4999,3.51E+08,$100 - 500 Million,Mining,138102,Oil Well Drilling,138102,Oil Well Drilling,178102,Drilling & Boring Contractors,A+,100,Subsidiary,"40,000+"
Barrick Goldstrike Mines,Elko,NV,89803-0029,Elko,3380 W Idaho St,89801-5600,Elko,7.76E+09,7.76E+09,www.marionmethodistchurch.com,,,,,1700,1000 to 4999,4.56E+08,$100 - 500 Million,Mining,149901,Mining Companies,149901,Mining Companies,,,A+,100,Single Loc,"40,000+"
Pioneer Natural Resources Co,Irving,TX,75039-4412,5205 N O Connor Blvd # 900,Irving,75039-4412,Dallas,9.72E+09,9.73E+09,www.pioneernrc.com,Sheffield,Scott D,CEO,Male,1550,1000 to 4999,1.83E+09,Over $1 Billion,Mining,138203,Oil & Gas Exploration & Development,138203,Oil & Gas Exploration & Development,,,A+,100,Headquarter,"40,000+"
Stillwater Mining Co,Billings,MT,59102-7343,1321 Discovery Dr,Billings,59102-7343,Yellowstone,4.06E+09,4.06E+09,www.stillwatermining.com,Mcallister,Francis R,CEO,Male,1540,1000 to 4999,4.48E+08,$100 - 500 Million,Mining,149901,Mining Companies,149901,Mining Companies,,,A+,100,Headquarter,"10,000 - 39,999"
RPC Inc,Atlanta,GA,30324-4135,Atlanta,2170 Piedmont Rd NE,30324-4135,Fulton,4.04E+09,4.04E+09,www.acurid.com,Hubbell,Richard A,CEO,Male,1529,1000 to 4999,2.71E+08,$100 - 500 Million,Mining,138905,Oil Field Service,138203,Oil & Gas Exploration & Development,171131,Energy Management Systems & Products,A+,100,Headquarter,"10,000 - 39,999"
Tilcon Connecticut Inc,New Britain,CT,06050-1357,New Britain,642 Black Rock Ave,06052-1037,Hartford,8.61E+09,8.60E+09,www.tilconct.com,Abate,Carmine,CEO,Male,1500,1000 to 4999,0,,Mining,142901,Stone-Crushed,142901,Stone-Crushed,161101,Paving Contractors,A,90,Subsidiary,"10,000 - 39,999"
Compass Minerals Intl Inc,Shawnee Mission,KS,66210-1841,Shawnee Mission,8300 College Blvd,66210-1841,Johnson,9.13E+09,9.13E+09,www.compassminerals.com,Ducey,Michael E,CEO,Male,1497,1000 to 4999,6.95E+08,$500 Million - $1 Billion,Mining,147903,Salt Miners,147903,Salt Miners,509901,Exporters,A+,100,Headquarter,"40,000+"
Newpark Resources Inc,Metairie,LA,70002-8181,Metairie,3850 N Causeway Blvd # 1770,70002-8181,Jefferson,5.05E+09,5.05E+09,www.newpark.com,Cole,James D,CEO,Male,1363,1000 to 4999,4.33E+08,$100 - 500 Million,Mining,138203,Oil & Gas Exploration & Development,138203,Oil & Gas Exploration & Development,138999,Oil & Gas-Field Services Nec,A+,100,Headquarter,"10,000 - 39,999"
Jim Walter Resources Inc,Brookwood,AL,35444-0133,Brookwood,16243 Highway 216,35444 0000,Tuscaloosa,2.06E+09,2.06E+09,www.jimwalterresources.com,Richmond,George R,President,Male,1353,1000 to 4999,2.39E+08,$100 - 500 Million,Mining,149901,Mining Companies,122298,Bituminous Coal-Underground Mining,124198,Coal Mining Services,A+,100,Subsidiary,"40,000+"
Teck Cominco American Inc,Spokane,WA,99220-3087,Spokane Valley,15918 E Euclid Ave,99216-1815,Spokane,5.10E+09,5.09E+09,www.teckcominco.com,,,,,1350,1000 to 4999,3.24E+08,$100 - 500 Million,Mining,149901,Mining Companies,149901,Mining Companies,289905,Chemicals-Manufacturers,A+,100,Headquarter,"10,000 - 39,999"
EOG Resources Inc,Houston,TX,77210-4362,333 Clay St # 4200,Houston,77002-4006,Harris,7.14E+09,7.14E+09,www.eogresources.com,Papa,Mark G,CEO,Male,1250,1000 to 4999,2.27E+09,Over $1 Billion,Mining,131104,Oil & Gas-Production,131104,Oil & Gas-Production,492401,Gas-Natural,A+,100,Headquarter,"40,000+"
Dominion Exploration & Prdctn,Houston,TX,77060-2151,16945 Northchase Dr # 1750,Houston,77060-2151,Harris,2.82E+09,2.82E+09,www.dominion.com,,,,,1234,1000 to 4999,9.79E+08,$500 Million - $1 Billion,Mining,138203,Oil & Gas Exploration & Development,131101,Oil & Gas Producers,492401,Gas-Natural,A+,100,Subsidiary,"40,000+"
Production Management Ind,Harvey,LA,70059-0044,Morgan City,9761 Highway 90 E,70380 0000,St Mary,9.86E+09,9.86E+09,www.pmi.net,Luke,Robert,Plant Mgr,Male,1200,1000 to 4999,0,,Mining,138905,Oil Field Service,138905,Oil Field Service,344304,Fabricated Plate Work-Boiler Shops,A+,100,Subsidiary,"40,000+"
AMCOL International Corp,Arlington Hts,IL,60004-1484,Arlington Hts,1500 W Shure Dr # 500,60004-1484,Cook,8.47E+09,8.48E+09,www.amcol.com,Washow,Lawrence E,CEO,Male,1185,1000 to 4999,3.64E+08,$100 - 500 Million,Mining,145902,Bentonite,145902,Bentonite,874213,Marketing Programs & Services,A+,100,Headquarter,"2,500 - 9,999"
Cal Dive Intl Inc,Houston,TX,77060-3531,400 N Sam Houston Pkwy E # 400,Houston,77060-3531,Harris,2.82E+09,2.82E+09,www.caldive.com,Kratz,Owen E,CEO,Male,1114,1000 to 4999,3.96E+08,$100 - 500 Million,Mining,138999,Oil & Gas-Field Services Nec,138999,Oil & Gas-Field Services Nec,162903,Marine Contractors & Designers,A+,100,Headquarter,"40,000+"
Aera Energy LLC,Bakersfield,CA,93389-1164,Bakersfield,10000 Ming Ave,93311-1301,Kern,6.62E+09,6.62E+09,www.aeraenergy.com,Voiland,Eugene J,CEO,Male,1100,1000 to 4999,0,,Mining,131101,Oil & Gas Producers,131101,Oil & Gas Producers,517198,Petroleum Bulk Stations & Terminals,A+,96,Headquarter,"10,000 - 39,999"
Hecla Mining Co,Coeur D Alene,ID,83815-9408,Coeur D Alene,6500 N Mineral Dr # 200,83815-9408,Kootenai,2.09E+09,2.09E+09,www.hecla-mining.com,Baker Jr,Phillips S,CEO,Male,1074,1000 to 4999,1.31E+08,$100 - 500 Million,Mining,149901,Mining Companies,103198,Lead & Zinc Ores,104198,Gold Ores,A+,100,Headquarter,"40,000+"
Westmoreland Coal Co,Colorado Springs,CO,80903-1603,Colorado Springs,2 N Cascade Ave # 14,80903-1603,El Paso,7.19E+09,7.19E+09,www.westmorelandcoal.com,Seglem,Christopher,CEO,Male,1052,1000 to 4999,3.75E+08,$100 - 500 Million,Mining,122102,Coal Mining & Shipping,122102,Coal Mining & Shipping,874213,Marketing Programs & Services,A+,100,Headquarter,"10,000 - 39,999"
XTO Energy Inc,Fort Worth,TX,76102-6298,810 Houston St,Fort Worth,76102-6298,Tarrant,8.18E+09,8.18E+09,www.xtoenergy.com,Simpson,Bob R,CEO,Male,1007,1000 to 4999,1.95E+09,Over $1 Billion,Mining,131101,Oil & Gas Producers,131101,Oil & Gas Producers,138203,Oil & Gas Exploration & Development,A+,100,Headquarter,"40,000+"
US Borax Inc,Boron,CA,93516-2000,Boron,14886 Borax Rd,93516-2000,Kern,7.61E+09,,www.borax.com,Chiaro,Preston,President,Male,1001,1000 to 4999,2.68E+08,$100 - 500 Million,Mining,149901,Mining Companies,149901,Mining Companies,509901,Exporters,A+,96,Branch,"40,000+"
Golden Star Resources LTD,Littleton,CO,80127-6312,Littleton,10901 W Toller Dr # 300,80127-6312,Jefferson,3.04E+09,3.04E+09,www.gsr.com,Bradford,Peter J,CEO,Male,1000,1000 to 4999,65029000,$50 - 100 Million,Mining,149901,Mining Companies,149901,Mining Companies,509901,Exporters,A+,100,Headquarter,"10,000 - 39,999"
Motiva Enterprises,Port Arthur,TX,77641-0712,2100 Houston Ave,Port Arthur,77640-3300,Jefferson,4.10E+09,4.10E+09,www.portarthurrefinery.com,Killien,Michael,Plant Mgr,Male,980,500 to 999,9.94E+08,$500 Million - $1 Billion,Mining,131101,Oil & Gas Producers,131101,Oil & Gas Producers,,,A+,100,Single Loc,"40,000+"
Grey Wolf Drilling Co,Alice,TX,78332-4142,1907 E Main St,Alice,78332-4142,Jim Wells,3.62E+09,3.62E+09,www.greywolfdrilling.com,Tolsma,Jim,VP,Male,950,500 to 999,40800000,$20 - 50 Million,Mining,138102,Oil Well Drilling,138102,Oil Well Drilling,,,A+,100,Branch,"40,000+"
